overall_rank,name,pos,pos_rank,tier,team,bye,proj_points,ppg,availability,adp,adp_stdev,vor,vor_model,vor_market,edge,times_drafted,notes
1,Jahmyr Gibbs,RB,1,1,DET,6,331.4,24.37,0.8,1.4,1.0,179.1,182.4,173.0,9.4,1806,
2,Bijan Robinson,RB,2,1,ATL,11,324.9,23.89,0.8,2.2,1.0,165.6,175.9,146.5,29.4,1000,
3,Puka Nacua,WR,1,1,LAR,11,312.5,22.76,0.807,3.4,1.1,164.6,174.4,146.5,27.9,292,
4,Ja'Marr Chase,WR,2,1,CIN,6,311.1,22.66,0.807,3.6,1.0,162.3,173.0,142.4,30.6,1878,
5,Jaxon Smith-Njigba,WR,3,2,SEA,11,284.6,19.7,0.85,5.8,1.3,144.9,146.5,142.0,4.5,944,
6,Christian McCaffrey,RB,3,2,SF,8,291.0,25.59,0.669,5.7,1.7,142.1,142.0,142.4,-0.4,1257,
7,Amon-Ra St. Brown,WR,4,2,DET,6,280.5,19.41,0.85,7.3,1.6,138.9,142.4,132.4,10.0,1225,
8,Jonathan Taylor,RB,4,3,IND,13,272.3,20.02,0.8,7.2,1.7,129.8,123.3,142.0,-18.7,1684,
9,CeeDee Lamb,WR,5,2,DAL,14,270.5,18.72,0.85,10.3,1.7,129.2,132.4,123.3,9.1,910,
10,Nico Collins,WR,6,2,HOU,8,262.0,18.13,0.85,22.1,3.4,113.8,123.9,95.0,28.9,782,
11,Justin Jefferson,WR,7,3,MIN,6,250.4,17.33,0.85,11.7,2.1,112.1,112.3,111.8,0.5,1050,
12,James Cook,RB,5,3,BUF,7,260.8,19.18,0.8,10.4,3.0,112.0,111.8,112.3,-0.5,2468,
13,Drake London,WR,8,3,ATL,11,250.2,17.31,0.85,16.5,4.2,110.8,112.1,108.4,3.7,285,
14,De'Von Achane,RB,6,3,MIA,6,257.4,18.93,0.8,11.2,2.5,109.7,108.4,112.1,-3.7,582,
15,A.J. Brown,WR,9,3,NE,11,247.2,17.11,0.85,16.9,2.6,108.1,109.1,106.2,2.9,1401,
16,Chase Brown,RB,7,3,CIN,6,255.2,18.76,0.8,13.4,2.5,107.2,106.2,109.1,-2.9,1584,
17,George Pickens,WR,10,3,DAL,14,245.7,17.0,0.85,21.0,3.4,104.1,107.6,97.7,9.9,631,
18,Saquon Barkley,RB,8,3,PHI,10,246.7,19.51,0.744,16.1,4.5,101.4,97.7,108.4,-10.7,2829,
19,Derrick Henry,RB,9,3,BAL,13,246.9,20.63,0.704,16.5,2.5,101.3,97.9,107.6,-9.7,970,
20,Brock Bowers,TE,1,1,LV,13,253.5,17.75,0.84,29.9,9.0,96.9,102.6,86.3,16.3,2221,
21,Chris Olave,WR,11,3,NO,8,235.9,16.33,0.85,23.9,6.2,96.4,97.8,93.9,3.9,534,
22,Malik Nabers,WR,12,3,NYG,8,236.7,17.24,0.807,26.5,3.7,96.0,98.6,91.2,7.4,1535,
23,Kenneth Walker,RB,10,3,KC,5,244.0,17.94,0.8,20.6,4.0,96.0,95.0,97.8,-2.8,2309,
24,Omarion Hampton,RB,11,3,LAC,7,242.9,17.86,0.8,19.6,5.5,95.3,93.9,97.9,-4.0,2137,
25,Rashee Rice,WR,13,3,KC,5,229.3,15.87,0.85,22.1,6.8,92.5,91.2,95.0,-3.8,280,
26,Ashton Jeanty,RB,12,4,LV,13,233.9,18.1,0.76,19.1,4.7,89.7,84.9,98.6,-13.7,797,
27,DeVonta Smith,WR,14,3,PHI,10,229.2,15.86,0.85,30.8,3.9,89.3,91.1,85.9,5.2,1268,
28,Zay Flowers,WR,15,4,BAL,13,228.2,16.62,0.807,31.1,8.9,88.6,90.1,85.9,4.2,340,
29,Trey McBride,TE,2,2,ARI,14,234.9,16.45,0.84,28.2,6.1,86.5,84.0,91.2,-7.2,1017,
30,Garrett Wilson,WR,16,4,NYJ,13,224.9,15.56,0.85,34.1,9.6,86.1,86.8,84.9,1.9,507,
31,Tee Higgins,WR,17,4,CIN,6,224.4,16.35,0.807,35.7,4.5,85.8,86.3,84.9,1.4,749,
32,Tetairoa McMillan,WR,18,4,CAR,5,223.0,15.43,0.85,34.1,4.3,84.9,84.9,84.9,0.0,529,
33,Emeka Egbuka,WR,19,4,TB,10,224.0,16.32,0.807,36.8,4.5,84.9,85.9,82.9,3.0,1439,
34,Josh Allen,QB,1,1,BUF,7,351.5,23.5,0.88,28.4,9.3,82.5,78.4,90.1,-11.7,1124,
35,Ladd McConkey,WR,20,4,LAC,7,228.2,15.79,0.85,37.2,4.6,80.6,90.1,63.0,27.1,2152,
36,Jaylen Waddle,WR,21,4,DEN,10,221.0,15.29,0.85,44.4,4.9,74.5,82.9,59.0,23.9,2000,
37,Mike Evans,WR,22,4,SF,8,222.2,16.86,0.775,58.7,7.5,73.0,84.1,52.5,31.6,679,
38,Javonte Williams,RB,13,5,DAL,14,212.0,15.59,0.8,33.4,5.1,70.7,63.0,84.9,-21.9,1446,
39,Terry McLaurin,WR,23,5,WAS,7,213.8,14.8,0.85,51.3,6.1,68.9,75.7,56.2,19.5,672,
40,Kyren Williams,RB,14,5,LAR,11,208.0,15.29,0.8,29.5,4.6,68.7,59.0,86.8,-27.8,1121,
41,Jeremiyah Love,RB,15,5,ARI,14,201.2,15.37,0.77,28.4,3.2,65.8,52.2,91.1,-38.9,594,Preseason ankle; beat reporters put Week 1 at roughly 50/50 [injury]
42,Luther Burden,WR,24,5,CHI,10,209.0,15.22,0.807,54.1,6.6,65.8,70.9,56.2,14.7,1136,
43,Jameson Williams,WR,25,5,DET,6,206.2,14.27,0.85,51.6,8.8,63.9,68.1,56.2,11.9,523,
44,Rome Odunze,WR,26,5,CHI,10,207.9,15.14,0.807,59.2,8.0,62.9,69.8,50.2,19.6,1104,
